county,countyConfirmed,countyDeaths,state
Laramie County,14,0,WY
Fremont County,14,0,WY
Niagara County,14,0,NY
Daviess County,14,0,KY
Brevard County,13,0,FL
Stark County,13,2,OH
Franklin County,13,1,IN
Indian River County,13,0,FL
Oneida County,13,0,NY
Canyon County,13,0,ID
Benton County,13,4,WA
Unassigned,13.0,0.0,NM
St. Clair County,13,0,MI
Dauphin County,13,0,PA
Walton County,13,0,FL
Orange County,13,0,NC
Leflore County,13,0,MS
Garfield County,13,0,CO
Yellowstone County,13,0,MT
Beaver County,13,0,PA
Richmond County,13,0,VA
Plaquemines Parish,13,0,LA
Mobile County,13,0,AL
Decatur County,13,0,IN
Delaware County,12,0,OH
Buncombe County,12,0,NC
Monroe County,12,0,FL
Putnam County,12,0,FL
Coweta County,12,0,GA
Rockdale County,12,0,GA
Atlantic County,12,0,NJ
Addison County,12,0,VT
Pike County,12,0,MS
Lowndes County,12,0,GA
Linn County,12,0,IA
Washington County,12,0,PA
La Crosse County,12,0,WI
Chesterfield County,12,0,VA
Martin County,12,0,MN
Stanislaus County,12,0,CA
Ketchikan Gateway County,11,0,AK
Hays County,11,0,TX
Kay County,11,0,OK
Livingston Parish,11,0,LA
Van Buren County,11,0,AR
Fairbanks North Star County,11,0,AK
Spalding County,11,0,GA
Clinton County,11,0,NY
Berrien County,11,0,MI
Webb County,11,0,TX
De Soto Parish,11,0,LA
Gaston County,11,0,NC
Bennington County,11,0,VT
Steuben County,11,0,NY
Ripley County,11,0,IN
Iredell County,11,0,NC
Ontario County,11,0,NY
Citrus County,11,0,FL
Leavenworth County,11,0,KS
Sedgwick County,11,0,KS
Yolo County,11,1,CA
Hampshire County,11,0,MA
Wichita County,10,0,TX
Deschutes County,10,0,OR
Charles County,10,0,MD
Brunswick County,10,0,NC
Oktibbeha County,10,0,MS
Newton County,10,0,GA
Lafayette County,10,0,MS
Weber County,10,0,UT
Chelan County,10,1,WA
Douglas County,10,0,KS
St. Lucie County,10,0,FL
Polk County,10,0,GA
Humboldt County,10,0,CA
Saginaw County,10,0,MI
Richmond County,10,0,GA
Washington County,10,0,AR
Mitchell County,10,0,GA
Mower County,10,0,MN
Elmore County,10,0,AL
Cameron County,10,0,TX
Columbia County,10,0,GA
Creek County,10,0,OK
Pawnee County,10,1,OK
Wilson County,10,0,TN
Jefferson County,10,0,WA
Sumter County,10,0,SC
Harrison County,10,0,KY
Troup County,10,0,GA
Limestone County,10,0,AL
Kalamazoo County,10,0,MI
Clark County,10,0,IN
Harnett County,10,1,NC
Madison County,9,1,NY
Imperial County,9,0,CA
Newport County,9,0,RI
Washington County,9,0,RI
Putnam County,9,0,TN
Santa Rosa County,9,1,FL
Kootenai County,9,0,ID
Centre County,9,0,PA
Guadalupe County,9,0,TX
Catawba County,9,0,NC
Trumbull County,9,0,OH
Chambers County,9,0,AL
Chatham County,9,0,GA
Matagorda County,9,1,TX
Hernando County,9,0,FL
Orangeburg County,9,0,SC
Spartanburg County,9,0,SC
New London County,9,0,CT
Leon County,9,1,FL
Schuylkill County,9,0,PA
Washington County,9,0,MS
Summit County,9,0,CO
Apache County,9,0,AZ
Gordon County,9,0,GA
Houston County,9,0,GA
Hancock County,9,1,IN
San Benito County,9,1,CA
Maui County,9,0,HI
Harford County,9,0,MD
Oxford County,8,0,ME
Unassigned,8.0,4.0,VT
Hidalgo County,8,0,TX
Allen County,8,1,IN
Cumberland County,8,0,NC
York County,8,1,VA
Wilkinson County,8,1,MS
Anoka County,8,0,MN
McLean County,8,1,IL
Washington County,8,0,IA
Broomfield County,8,0,CO
Champaign County,8,0,IL
Webster Parish,8,1,LA
Darlington County,8,0,SC
Morton County,8,0,ND
Kenton County,8,0,KY
Wayne County,8,0,NY
Racine County,8,0,WI
Martin County,8,0,FL
Cass County,8,0,MO
Fayette County,8,0,PA
Franklin County,8,0,WA
Johnston County,8,0,NC
Warren County,8,0,OH
West Baton Rouge Parish,8,1,LA
San Juan County,8,0,NM
Lowndes County,8,0,MS
Bibb County,8,0,GA
Sarpy County,8,0,NE
Comal County,8,0,TX
Copiah County,8,0,MS
Carver County,8,0,MN
Sandoval County,8,0,NM
Belknap County,8,0,NH
Clinton County,7,0,MI
Early County,7,1,GA
Sheboygan County,7,0,WI
Herkimer County,7,0,NY
Maury County,7,0,TN
Delaware County,7,0,NY
Flagler County,7,0,FL
Morgan County,7,0,AL
Allamakee County,7,0,IA
Morgan County,7,0,IN
Dallas County,7,0,IA
Ellis County,7,0,TX
Laurens County,7,0,GA
Wyoming County,7,1,NY
Calvert County,7,0,MD
Holmes County,7,1,MS
Tippecanoe County,7,0,IN
Greene County,7,0,TN
Washington County,7,0,TN
Platte County,7,0,MO
Yamhill County,7,0,OR
Calhoun County,7,0,MI
Winnebago County,7,0,IL
Otsego County,7,0,MI
Tangipahoa Parish,7,0,LA
Strafford County,7,0,NH
Scott County,7,0,IA
Jefferson County,7,0,TX
Carroll County,7,0,NH
Floyd County,7,0,IN
Crittenden County,7,0,AR
St. Clair County,7,0,IL
Avoyelles Parish,7,0,LA
Elkhart County,7,0,IN
Adams County,7,0,PA
Marshall County,7,0,MS
Delaware County,7,1,IN
Paulding County,7,0,GA
Attala County,7,0,MS
Oconee County,7,0,GA
Unassigned,7.0,1.0,AK
Madera County,7,0,CA
Nevada County,7,0,CA
Windham County,7,0,VT
Washington County,7,0,VT
Kent County,7,0,RI
Carroll County,7,0,MD
Teton County,7,0,WY
Chickasaw County,7,0,MS
Chemung County,7,0,NY
Boone County,7,0,IN
Cheatham County,7,0,TN
Lauderdale County,7,0,AL
Box Elder County,6,0,UT
Scott County,6,0,MN
Le Sueur County,6,0,MN
Montgomery County,6,0,TN
Blue Earth County,6,0,MN
Washington Parish,6,1,LA
Cole County,6,0,MO
Tipton County,6,0,TN
Rock County,6,0,WI
Sauk County,6,0,WI
Monroe County,6,0,IN
Kittitas County,6,0,WA
Klickitat County,6,0,WA
Wayne County,6,0,PA
Howard County,6,1,IN
Bolivar County,6,0,MS
Bartholomew County,6,0,IN
Wilson County,6,0,NC
Hancock County,6,1,MS
Rowan County,6,0,NC
Lincoln County,6,0,MS
Pitt County,6,0,NC
Kankakee County,6,0,IL
Kendall County,6,0,IL
Tate County,6,0,MS
Henderson County,6,0,NC
Routt County,6,0,CO
Charlottesville County,6,0,VA
Midland County,6,0,MI
Chatham County,6,0,NC
Stafford County,6,0,VA
Cullman County,6,0,AL
St. Clair County,6,0,AL
Lancaster County,6,0,SC
Pickens County,6,0,SC
Napa County,6,0,CA
Washington County,6,0,UT
Muscatine County,6,0,IA
Cass County,6,0,ND
Mesa County,6,0,CO
Kennebec County,6,0,ME
Missoula County,6,0,MT
Castro County,6,0,TX
Natrona County,6,0,WY
Canadian County,6,0,OK
Benton County,6,0,OR
Dubuque County,6,1,IA
Wagoner County,6,0,OK
Carteret County,5,0,NC
Williamsburg County,5,1,VA
Lincoln County,5,0,ME
Hockley County,5,0,TX
Norfolk County,5,0,VA
Assumption Parish,5,0,LA
Androscoggin County,5,0,ME
Rutland County,5,0,VT
Baker County,5,0,FL
Lenawee County,5,0,MI
Autauga County,5,0,AL
Lamoille County,5,0,VT
Marion County,5,0,AL
Franklin County,5,0,NC
DeSoto County,5,0,FL
Hillsdale County,5,0,MI
Fairfield County,5,0,OH
Berkeley County,5,0,SC
Clarendon County,5,1,SC
Clermont County,5,0,OH
Florence County,5,2,SC
Black Hawk County,5,0,IA
Warren County,5,0,KY
Penobscot County,5,0,ME
Merrimack County,5,0,NH
Tunica County,5,1,MS
Sangamon County,5,1,IL
Eau Claire County,5,0,WI
Jefferson County,5,0,WI
Kanawha County,5,0,WV
Walworth County,5,0,WI
Porter County,5,0,IN
Winnebago County,5,0,WI
Muscogee County,5,0,GA
Peach County,5,0,GA
Wicomico County,5,0,MD
Sumter County,5,0,GA
Yavapai County,5,0,AZ
Flathead County,5,0,MT
Terrell County,5,0,GA
Cascade County,5,0,MT
Tift County,5,0,GA
Essex County,5,0,NY
Whitfield County,5,0,GA
Worth County,5,0,GA
Glynn County,5,0,GA
Lawrence County,5,0,MS
Greene County,5,0,NY
St. Mary Parish,5,0,LA
St. Landry Parish,5,0,LA
Montgomery County,5,0,NY
Erie County,5,0,PA
Highlands County,5,0,FL
Columbia County,5,0,WI
Dickson County,5,0,TN
Lincoln County,5,0,AR
Nassau County,5,0,FL
Jefferson County,5,0,MO
Dodge County,5,0,MN
Washington County,5,0,OK
Franklin County,5,0,PA
St. Louis County,5,0,MN
Wright County,5,0,MN
Steele County,5,0,MN
Allen Parish,5,0,LA
Payne County,5,0,OK
Teller County,5,1,CO
Lane County,5,1,OR
Marion County,5,0,FL
Stearns County,5,0,MN
Leake County,4,0,MS
Clay County,4,0,MN
Saline County,4,0,AR
Onslow County,4,0,NC
Lamar County,4,0,MS
Genesee County,4,0,NY
Chaves County,4,0,NM
Nash County,4,0,NC
Clinton County,4,0,IL
Montgomery County,4,0,MS
Panola County,4,0,MS
Jefferson County,4,0,TN
Sunflower County,4,0,MS
Lyon County,4,0,KS
Montour County,4,0,PA
Jackson County,4,0,OR
Walthall County,4,0,MS
Linn County,4,0,KS
Oswego County,4,0,NY
Albemarle County,4,0,VA
Chesapeake County,4,0,VA
Sagadahoc County,4,0,ME
Scott County,4,0,MS
Craighead County,4,0,AR
Choctaw County,4,0,MS
Sheridan County,4,0,WY
Douglas County,4,0,WI
Mono County,4,0,CA
Vanderburgh County,4,0,IN
Outagamie County,4,0,WI
Jackson County,4,0,WV
Barrow County,4,0,GA
St. Croix County,4,0,WI
Owen County,4,0,IN
Winona County,4,0,MN
Clallam County,4,0,WA
