,ds,region,percent_ill
814,2017-06-13,12086,1.99824765092155
815,2017-06-14,12086,2.05057696298175
157,2017-06-15,12086,1.74355563904924
158,2017-06-16,12086,1.41964915484735
816,2017-06-17,12086,1.56485055314002
817,2017-06-18,12086,1.79682708993792
159,2017-06-19,12086,1.54448050089597
160,2017-06-20,12086,1.63402290314607
161,2017-06-21,12086,1.68743796615801
818,2017-06-22,12086,1.53548337443686
819,2017-06-23,12086,1.46106046693384
162,2017-06-24,12086,1.51422741403199
820,2017-06-25,12086,1.40561688023209
163,2017-06-26,12086,1.46051676261149
164,2017-06-27,12086,1.72396333381516
821,2017-06-28,12086,1.66062857033428
822,2017-06-29,12086,1.58741508972794
165,2017-06-30,12086,1.71020536365306
166,2017-07-01,12086,1.68736215986085
167,2017-07-02,12086,2.22599616785782
168,2017-07-03,12086,2.13611850379127
823,2017-07-04,12086,2.13564779890614
824,2017-07-05,12086,1.85891265298682
825,2017-07-06,12086,1.55363527984601
826,2017-07-07,12086,1.60802826320766
169,2017-07-08,12086,1.59923712122333
827,2017-07-09,12086,1.49114947936036
828,2017-07-10,12086,0.97014577344353
170,2017-07-11,12086,1.11876459845089
171,2017-07-12,12086,1.38889970704181
172,2017-07-13,12086,1.64586928870559
829,2017-07-14,12086,1.64502546257801
173,2017-07-15,12086,1.68826401848759
830,2017-07-16,12086,1.83239197742202
831,2017-07-17,12086,1.81337382781723
832,2017-07-18,12086,2.09008803719437
833,2017-07-19,12086,2.00880015582408
834,2017-07-20,12086,2.12407423232411
174,2017-07-21,12086,1.66091372587522
175,2017-07-22,12086,1.61403010705012
835,2017-07-23,12086,1.77774975186613
836,2017-07-24,12086,1.91582387850033
176,2017-07-25,12086,1.67220688968511
177,2017-07-26,12086,1.49183004349568
837,2017-07-27,12086,1.24273596976086
178,2017-07-28,12086,1.04346776802471
838,2017-07-29,12086,1.10746005826282
179,2017-07-30,12086,1.26286195061371
839,2017-07-31,12086,1.24550403485087
180,2017-08-01,12086,1.17414548692755
181,2017-08-02,12086,1.00897796433137
182,2017-08-03,12086,0.885076224948267
183,2017-08-04,12086,0.810759124425677
184,2017-08-05,12086,1.00484648391778
840,2017-08-06,12086,0.961108839439755
841,2017-08-07,12086,1.51632379987908
842,2017-08-08,12086,1.34440823130925
843,2017-08-09,12086,1.42986505870177
185,2017-08-10,12086,1.47980962286391
186,2017-08-11,12086,1.69002768951513
187,2017-08-12,12086,1.64522925930256
188,2017-08-13,12086,1.57933716959072
189,2017-08-14,12086,1.78871374319822
844,2017-08-15,12086,1.5637598221872
845,2017-08-16,12086,1.71268527479865
846,2017-08-17,12086,1.70267312620265
190,2017-08-18,12086,1.52742369970288
847,2017-08-19,12086,1.39783358625163
191,2017-08-20,12086,1.50279606894367
192,2017-08-21,12086,1.48683408408977
193,2017-08-22,12086,1.31014473671262
194,2017-08-23,12086,1.96553505142954
848,2017-08-24,12086,2.29015042027997
849,2017-08-25,12086,2.3228839193851
195,2017-08-26,12086,2.29054726275504
196,2017-08-27,12086,1.98926784276906
850,2017-08-28,12086,2.11876434843479
197,2017-08-29,12086,2.25542352109213
851,2017-08-30,12086,2.3350452218671
852,2017-08-31,12086,1.89862921058714
198,2017-09-01,12086,1.84993450921479
853,2017-09-02,12086,1.53974055266428
199,2017-09-03,12086,1.66913939454371
854,2017-09-04,12086,1.37869891159021
200,2017-09-05,12086,1.46268488604921
201,2017-09-06,12086,1.43677348621047
202,2017-09-07,12086,1.08256079332899
855,2017-09-08,12086,0.869905140128862
856,2017-09-09,12086,1.12525340855722
857,2017-09-10,12086,1.03403673194445
858,2017-09-11,12086,1.12898466855315
203,2017-09-12,12086,0.834842493059684
204,2017-09-13,12086,0.64144772164602
859,2017-09-14,12086,0.60808694378026
205,2017-09-15,12086,0.446379123827593
860,2017-09-16,12086,0.331292748381617
206,2017-09-17,12086,0.243133306388218
207,2017-09-18,12086,0.0884187912186263
208,2017-09-19,12086,0.0874625611552997
209,2017-09-20,12086,0.254656877137809
861,2017-09-21,12086,0.299285004875825
210,2017-09-22,12086,0.159267925420831
211,2017-09-23,12086,0.412113805027182
862,2017-09-24,12086,0.78993973296783
863,2017-09-25,12086,0.940623010838621
212,2017-09-26,12086,1.2562706750067
213,2017-09-27,12086,1.32329674426611
864,2017-09-28,12086,1.56175560067064
865,2017-09-29,12086,1.45033939140445
866,2017-09-30,12086,1.5466632202545
867,2017-10-01,12086,1.46511201922212
868,2017-10-02,12086,1.4960560860851
869,2017-10-03,12086,1.54573595198672
214,2017-10-04,12086,1.66525609381815
215,2017-10-05,12086,1.64040236315772
216,2017-10-06,12086,1.59648049247499
217,2017-10-07,12086,1.62983762163878
218,2017-10-08,12086,1.90320417103377
219,2017-10-09,12086,2.55106289484158
220,2017-10-10,12086,2.66931460636941
870,2017-10-11,12086,2.78110949389671
221,2017-10-12,12086,2.8314678230558
871,2017-10-13,12086,3.00237321853315
222,2017-10-14,12086,2.70035509591792
872,2017-10-15,12086,2.68233838878285
223,2017-10-16,12086,2.53768664839742
224,2017-10-17,12086,2.12951059089768
225,2017-10-18,12086,1.86636561972293
226,2017-10-19,12086,2.02298992815913
227,2017-10-20,12086,1.58268567733365
228,2017-10-21,12086,1.32322736972836
873,2017-10-22,12086,1.7088231842409
229,2017-10-23,12086,1.78877965062569
230,2017-10-24,12086,1.6813280414588
874,2017-10-25,12086,1.68037243355727
875,2017-10-26,12086,1.67022825629311
876,2017-10-27,12086,1.64105417407752
231,2017-10-28,12086,1.78477557794819
232,2017-10-29,12086,1.97394957549498
233,2017-10-30,12086,1.97963337166733
234,2017-10-31,12086,2.12501744943574
235,2017-11-01,12086,1.93610990200049
877,2017-11-02,12086,2.20338868359811
236,2017-11-03,12086,2.48244594261064
237,2017-11-04,12086,2.66077480050006
238,2017-11-05,12086,2.55359919415563
239,2017-11-06,12086,2.31954498985856
240,2017-11-07,12086,1.96924227905276
241,2017-11-08,12086,2.06100051630033
242,2017-11-09,12086,2.35209787477231
878,2017-11-10,12086,2.08210259687937
243,2017-11-11,12086,1.8995125233292
879,2017-11-12,12086,1.82119719939178
244,2017-11-13,12086,1.61607734017807
245,2017-11-14,12086,1.58418844872697
246,2017-11-15,12086,1.94829437216087
880,2017-11-16,12086,1.8658387375871
247,2017-11-17,12086,1.56463938959188
248,2017-11-18,12086,1.68515039829754
249,2017-11-19,12086,1.73728306726436
250,2017-11-20,12086,2.28383549340496
881,2017-11-21,12086,2.10237353956756
251,2017-11-22,12086,2.00320373398527
252,2017-11-23,12086,1.72692227757739
253,2017-11-24,12086,1.49403624362317
254,2017-11-25,12086,1.84694915379123
255,2017-11-26,12086,1.94641896490637
882,2017-11-27,12086,1.83145270142264
256,2017-11-28,12086,1.64199368089406
257,2017-11-29,12086,1.16180799712184
883,2017-11-30,12086,1.09160291856085
884,2017-12-01,12086,1.12180903062377
258,2017-12-02,12086,1.1198117559445
885,2017-12-03,12086,0.753058795043399
886,2017-12-04,12086,0.961835770626451
887,2017-12-05,12086,0.973785370348514
259,2017-12-06,12086,1.66575144601171
260,2017-12-07,12086,1.58798034865557
888,2017-12-08,12086,1.53678926457777
889,2017-12-09,12086,1.62613105543046
261,2017-12-10,12086,1.53013603830515
890,2017-12-11,12086,1.68453601040934
262,2017-12-12,12086,1.69057350179963
891,2017-12-13,12086,2.01795353971169
263,2017-12-14,12086,1.86028137422294
892,2017-12-15,12086,1.86993189062727
264,2017-12-16,12086,1.94079498698065
893,2017-12-17,12086,2.3942132186835
894,2017-12-18,12086,2.55521165956115
895,2017-12-19,12086,2.6429252984763
896,2017-12-20,12086,2.4796662623308
